fold,half_life_days,l2,alpha,beta,fund_loss,fit_seconds,log_loss_per_race,brier_score_per_race,ece_10bin,hit_rate_top1,hit_rate_top3,favorite_hit_rate,roi_edge20,n_bets_edge20,roi_edge30,n_bets_edge30,roi_edge40,n_bets_edge40,roi_edge50,n_bets_edge50,kelly_final_bankroll,kelly_pnl_pct,kelly_n_bets
fold1_val2024,365.25,0.001,0.03031758525726382,1.0866658261764253,4793.469230082745,7.480424100001983,1.6339191722588702,0.7461649352724543,0.006299687698754774,0.38110403397027603,0.7335456475583864,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,365.25,0.001,-0.06497936301681637,1.1159914229585788,4832.561852268854,7.924079199998232,1.638077009006595,0.7492768328290721,0.005656494239264898,0.366701244813278,0.7287344398340249,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,365.25,0.001,-0.08471749321152475,1.0735779813192128,4919.403155301727,5.083593499999552,1.7072073487701902,0.7738651276674703,0.010615860347032834,0.3382084095063985,0.7074954296160878,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,365.25,0.001,0.025118197708030154,1.0245114197333463,5100.519343209598,4.12746270000207,1.610569789374047,0.7505882767647671,0.005201829794135132,0.3629242819843342,0.7467362924281984,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,365.25,0.01,0.029896240658983247,1.0869369697516231,4793.450265178056,7.496351599998889,1.6339224354586086,0.7461657900286945,0.006326448202981304,0.38110403397027603,0.7335456475583864,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,365.25,0.01,-0.06487153940025063,1.1159131006825858,4832.569251038785,7.5831718999979785,1.6380794297531234,0.7492768716235562,0.0056563659552739225,0.366701244813278,0.7287344398340249,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,365.25,0.01,-0.08506072540575188,1.073819011484031,4919.430203025945,4.781476800002565,1.7071969726868927,0.7738663361402788,0.01061564697081394,0.3382084095063985,0.7074954296160878,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,365.25,0.01,0.02520029364089678,1.0244726336800407,5100.542146962306,4.060626600003161,1.6105694527097494,0.7505873567800755,0.005201753233622357,0.3629242819843342,0.7467362924281984,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,365.25,0.1,0.029310337918951466,1.0872967345109672,4793.557346683904,6.970504199998686,1.6339263974115144,0.7461679529054839,0.006230051109631465,0.38057324840764334,0.7335456475583864,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,365.25,0.1,-0.06508258828554296,1.1160327200628004,4832.621553448489,8.17117049999797,1.638075952720193,0.7492764964834916,0.005632831437452419,0.366701244813278,0.7287344398340249,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,365.25,0.1,-0.08721290602301798,1.074841816175584,4919.610737114953,4.855684599999222,1.7071597653015373,0.7738669041522298,0.009958695874408178,0.33638025594149906,0.7074954296160878,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,365.25,0.1,0.02456901925488216,1.024692057047518,5100.765759380604,4.228187699998671,1.6105715817231188,0.7505928462024226,0.005349739175969838,0.3629242819843342,0.7467362924281984,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,365.25,1.0,0.029701287474074217,1.0870715513122804,4794.057420441631,7.340488500005449,1.6339239689525595,0.7461683261629306,0.006230394838288806,0.38110403397027603,0.7335456475583864,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,365.25,1.0,-0.06550854085832072,1.1162430386514468,4833.1375969913615,9.70897849999892,1.6380709048780415,0.749275640805795,0.005548147796351849,0.366701244813278,0.7287344398340249,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,365.25,1.0,-0.09452412244393588,1.0781982426674006,4920.950757854883,7.329066600002989,1.7070316991888703,0.7738677028784559,0.009806291391076678,0.33638025594149906,0.7074954296160878,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,365.25,1.0,0.026211999404923567,1.0240055195337534,5102.397944097418,5.6068677000002936,1.610565823096277,0.7505758221293787,0.005201608340638323,0.3629242819843342,0.7467362924281984,0.3575,,0,,0,,0,,0,1000.0,0.0,0
fold1_val2024,547.875,0.001,0.0321011574135727,1.0860123242253914,6849.975864257096,8.752388599998085,1.6339117842933266,0.7461664768769841,0.006341949520457224,0.38110403397027603,0.7330148619957537,0.37551440329218105,,0,,0,,0,,0,1000.0,0.0,0
fold2_val2025,547.875,0.001,-0.06633103514384393,1.116415398101597,7036.603301082419,10.278254700002435,1.6380670589746082,0.7492766275817923,0.00602262227372132,0.366701244813278,0.7287344398340249,0.3656076651538074,,0,,0,,0,,0,1000.0,0.0,0
fold3_val2026Q1,547.875,0.001,-0.08875033366933346,1.0757403075026992,7240.44304268526,7.778862300001492,1.7071347646304804,0.7738862941949974,0.009771850789051479,0.3382084095063985,0.7074954296160878,0.3298059964726631,,0,,0,,0,,0,1000.0,0.0,0
fold4_val2026Q2,547.875,0.001,0.024664430081027883,1.0245018851901877,7442.256629270979,6.073801999998977,1.6105713797767178,0.7505926443741218,0.005352986736864061,0.3629242819843342,0.7467362924281984,0.3575,,0,,0,,0,,0,1000.0,0.0,0
