race_num,rank,pgm,horse,P(ITM),base,P(win),cov,_rr_delta,ML,PrimePwr,_reasons,_shipper,_corpus_cov,actual
1,1,7,Cat Fast,0.6704,0.6173000000000001,0.2621,0.9368421052631579,0.1908857527998541,9/5,110.7,"{'pos': [('jockey win% on surface', 0.1520361596295264), ('trainer win% on surface', 0.15149366859586785), ('speed figure last race', 0.14900832462194935)], 'neg': [('career ITM%', -0.11174446463851709), ('closeness to winner (last race)', -0.10062448091315995), ('2nd-back off layoff pattern', -0.0584965052133366)]}",False,0.9157894736842105,4.0
1,2,3,Market Watch,0.5554,0.5475,0.1895,0.9368421052631579,-0.020456903684503036,9/2,107.2,"{'pos': [('finish placement (last race)', 0.17764440921764066), ('career ITM%', 0.08060358450878377), ('trainer win% on surface', 0.06883702990163554)], 'neg': [('last race field size', -0.0794059028503759), ('closeness to winner (last race)', -0.06973100020668578), ('class rating change vs last', -0.05743522457961593)]}",False,0.9368421052631579,3.0
1,3,6,Policy Change,0.5218,0.5012,0.1767,0.9473684210526315,0.01682701189148894,2/1,113.1,"{'pos': [('speed figure last race', 0.1410406458654554), ('career ITM%', 0.13250702498892888), ('purse change vs last', 0.10622717515331852)], 'neg': [('jockey win% on surface', -0.11356547869873523), ('closeness to winner (last race)', -0.10886274148403874), ('finish placement (last race)', -0.0986913404597647)]}",False,0.9473684210526315,2.0
1,4,5,Abdicate,0.4422,0.46759999999999996,0.1376,0.9368421052631579,-0.15728263729774383,10/1,105.8,"{'pos': [('finish placement (last race)', 0.3158122840563433), ('career ITM%', 0.1796919708799699), ('last race field size', 0.158811802562773)], 'neg': [('purse change vs last', -0.15659512629467154), ('weight (lbs)', -0.13195276572531983), ('jockey win% on surface', -0.07905217913640167)]}",False,0.9368421052631579,7.0
1,5,8,York Tavern,0.3529,0.3502,0.1069,0.9368421052631579,-0.044764344484554686,5/1,99.8,"{'pos': [('closeness to winner (last race)', 0.5069473104741237), ('career win%', 0.10226632805260769), ('weight (lbs)', 0.0695750945528232)], 'neg': [('finish placement (last race)', -0.23685921529846737), ('speed figure last race', -0.2318469459101702), ('last race field size', -0.0794059028503759)]}",False,0.9157894736842105,1.0
1,6,4,C'Est La Vie Nick,0.2762,0.3378,0.0817,0.9368421052631579,-0.33258196492905545,20/1,96.1,"{'pos': [('last race field size', 0.158811802562773), ('career win% on surface', 0.0688599222885732)], 'neg': [('finish placement (last race)', -0.23685921529846737), ('purse change vs last', -0.15659512629467154), ('closeness to winner (last race)', -0.10886274148403874)]}",False,0.9368421052631579,5.0
1,7,2,Town Hot,0.18109999999999998,0.1784,0.0455,0.9473684210526315,-0.04283593431382626,30/1,85.4,"{'pos': [('career win%', 0.12567695406548393), ('purse change vs last', 0.10622717515331852), ('class rating change vs last', 0.08281357989541056)], 'neg': [('career ITM%', -0.288518216763845), ('trainer win% on surface', -0.1682975408079121), ('last race field size', -0.1588117973328083)]}",False,0.9473684210526315,6.0
2,1,3,Candied Up,0.6424,0.6525,0.2439,0.9473684210526315,-0.08663384706914945,5/2,110.5,"{'pos': [('finish placement (last race)', 0.19738267705174106), ('last race was maiden', 0.1856824212969356), ('trainer win% on surface', 0.182135244215563)], 'neg': [('won last race', -0.15787287691567517), ('last race field size', -0.10209329604396337), ('trainer win% at other tracks', -0.07455371962174118)]}",False,0.9473684210526315,5.0
2,2,6,Holiday Cash,0.5127999999999999,0.5251,0.1719,0.9368421052631579,-0.09940009318208431,2/1,115.1,"{'pos': [('career ITM%', 0.1456624886873234), ('trainer win% on surface', 0.09947860552133068), ('career win%', 0.09021304961955365)], 'neg': [('career win% on surface', -0.062440241663947765), ('class rating change vs last', -0.05743522667456259), ('speed figure last race', -0.054256131078464026)]}",False,0.9368421052631579,1.0
2,3,2,Fortunate Son,0.4781,0.5171,0.1579,0.9368421052631579,-0.1824034609881472,9/2,112.8,"{'pos': [('career ITM%', 0.20188285733453812), ('speed figure last race', 0.0927033631149061), ('trouble in last trip', 0.06315386475165145)], 'neg': [('career win%', -0.08004602748186751), ('finish placement (last race)', -0.07895307262566428)]}",False,0.9368421052631579,2.0
