race_num,rank,pgm,horse,P(ITM),base,P(win),cov,_rr_delta,ML,PrimePwr,_reasons,_shipper,_corpus_cov
1,1,5,Goddessof Beauty,0.7636,0.7232,0.3357,0.7789473684210526,-0.07446626106070553,,,"{'pos': [('finish placement (last race)', 0.23777513940454645), ('no data: finish placement (last race)', 0.21359856912424374), ('no data: won last race', 0.21359856912424374)], 'neg': [('pace type last race    MISSING = ', -0.1570160145645497), ('trainer home = GP', -0.103360145308154), ('no data: avg finish placement (last 3)', -0.062263146911550875)]}",False,0.7789473684210526
1,2,2,Daughter's Legacy,0.4316,0.4319,0.1308,0.43157894736842106,-0.30258270959086164,,,"{'pos': [('trainer home = GP', 0.1378135270775387), ('trainer win% at track', 0.056849492930994686)], 'neg': [('jockey home = GP', -0.11615565700384489)]}",True,0.43157894736842106
1,3,7,Lexi's Breeze,0.42000000000000004,0.4229,0.1323,0.4631578947368421,-0.30258270959086164,,,"{'pos': [('jockey home = GP', 0.15487420933845986), ('trainer home = GP', 0.1378135270775387)], 'neg': [('post position', -0.07331004813694411), ('jockey win% on surface', -0.06790550240738674)]}",True,0.4631578947368421
1,4,3,The Secret Ana,0.41819999999999996,0.41919999999999996,0.1256,0.43157894736842106,-0.30258270959086164,,,"{'pos': [('trainer home = GP', 0.1378135270775387), ('trainer win% at track', 0.056849492930994686)], 'neg': [('jockey home = GP', -0.11615565700384489)]}",True,0.43157894736842106
1,5,6,La Chinita,0.37960000000000005,0.3812,0.1154,0.42105263157894735,-0.30258270959086164,,,"{'pos': [('jockey home = GP', 0.15487420933845986), ('jockey win% on surface', 0.05917236162959256)], 'neg': [('trainer home = GP', -0.103360145308154)]}",True,0.42105263157894735
1,6,4,Yes I'm Gorgeous,0.3035,0.3045,0.0867,0.3894736842105263,-0.30258270959086153,,,"{'pos': [], 'neg': [('jockey home = GP', -0.11615565700384489), ('trainer home = GP', -0.103360145308154)]}",True,0.3894736842105263
1,7,1,Siena Belle,0.2835,0.31710000000000005,0.0735,0.3894736842105263,-0.4615793943822628,,,"{'pos': [('post position', 0.07331004964941165)], 'neg': [('jockey home = GP', -0.11615565700384489), ('trainer home = GP', -0.103360145308154)]}",True,0.3894736842105263
2,1,1,Cadenced,0.5587,0.5419,0.192,0.8526315789473684,-0.03478325469767818,,,"{'pos': [('last race field size', 0.17959689489460284), ('blinkers change', 0.115412287849489), ('post position', 0.06109170829325429)], 'neg': [('speed figure last race', -0.18188035616258486), ('career ITM%', -0.10011003174551103)]}",False,0.8526315789473684
2,2,3,Bleu Martini,0.5471,0.5532,0.1923,0.8421052631578947,-0.12866108302702473,,,"{'pos': [('blinkers change', 0.115412287849489)], 'neg': [('last race field size', -0.05131340056373321)]}",False,0.8421052631578947
2,3,6,Smellof Money,0.5306,0.4853,0.1739,0.8105263157894737,0.07013161148842117,,,"{'pos': [('last race field size', 0.10262679404900299), ('jockey win% (90d)', 0.060898810764260514)], 'neg': [('blinkers change', -0.11541228784948905), ('no data: career win% on surface', -0.07554553846052828), ('post position', -0.06109170770507248)]}",False,0.8105263157894737
