race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr
1,1,4,Tiz Freedom,0.4478,0.155,0.8315789473684211,5/2,116.7
1,2,3,Executor,0.41910000000000003,0.14,0.5894736842105263,2/1,130.2
1,3,6,Restore,0.40579999999999994,0.1347,0.8421052631578947,6/1,115.1
1,4,8,Ramblin,0.4037,0.138,0.5789473684210527,6/1,111.5
1,5,7,This Beau Knows,0.3961,0.1317,0.5789473684210527,6/1,100.8
1,6,1,Culture War,0.3711,0.1283,0.8210526315789474,,113.5
1,7,2,Fight the Power,0.3488,0.1133,0.5789473684210527,30/1,103.5
1,8,5,Malevaje,0.2076,0.059,0.8,30/1,94.6
2,1,2,Honor Bound,0.4504,0.1651,0.8315789473684211,12/1,104.3
2,2,3,Mc Kinsense,0.402,0.1381,0.8105263157894737,6/1,119.0
2,3,7,Pelican Hill,0.3744,0.1204,0.8631578947368421,9/2,116.5
2,4,4,Four Dimes,0.2903,0.0957,0.5157894736842106,6/1,
2,5,5,Props,0.2758,0.0943,0.8631578947368421,12/1,98.5
2,6,1,Pick a Switch,0.2653,0.0868,0.5578947368421052,20/1,104.3
2,7,10,Problem Solved,0.2596,0.0843,0.8421052631578947,3/1,
2,8,6,Princeof Light,0.2449,0.08,0.8315789473684211,5/1,108.2
2,9,9,Hartzus,0.22849999999999998,0.0711,0.5368421052631579,20/1,
2,10,8,Whatever,0.2088,0.0642,0.8526315789473684,8/1,105.4
3,1,2,Positive Equity,0.5271,0.1931,0.8526315789473684,,103.1
3,2,7,Al Amjaad,0.42579999999999996,0.1468,0.8210526315789474,5/1,95.2
3,3,8,T V Channel,0.4082,0.1423,0.631578947368421,5/2,125.2
3,4,5,Nyttime Story,0.379,0.1282,0.7789473684210526,15/1,95.9
3,5,4,Hamlet,0.3252,0.1031,0.7789473684210526,8/1,101.0
3,6,9,Crude Intentions,0.295,0.0927,0.6105263157894737,12/1,92.4
3,7,3,Can't Stop Willis,0.22150000000000003,0.0661,0.8421052631578947,4/1,109.9
3,8,6,Turnbuckle,0.2161,0.0648,0.8842105263157894,12/1,99.0
3,9,1,Blakely's Boy,0.2021,0.0629,0.8105263157894737,30/1,78.5
4,1,4,She's Gotta Go,0.4144,0.1463,0.8421052631578947,6/1,110.4
4,2,7,Legit Chick,0.32930000000000004,0.1044,0.8105263157894737,15/1,103.3
4,3,9,Watershed Moment,0.3268,0.1088,0.6631578947368421,2/1,112.1
4,4,6,Lexico,0.2954,0.0992,0.8315789473684211,4/1,111.9
4,5,3,Crystal Frost,0.2899,0.0922,0.6210526315789474,6/1,107.6
