race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr,_reasons,_shipper,_corpus_cov
3,4,1,Ajax the Great,0.391,0.1217,0.49473684210526314,8/1,93.0,"{'pos': [('pace type last race    MISSING = ', 0.1017504808181387), ('post position', 0.07640087581281035), ('no data: avg finish placement (last 3)', 0.05623934135116783)], 'neg': [('last race was maiden', -0.15473535108077968), ('no data: finish placement (last race)', -0.1292871816661172), ('no data: won last race', -0.1292871816661172)]}",True,0.4421052631578947
3,5,5,Conejo Dorado,0.38860000000000006,0.1257,0.8210526315789474,6/1,97.3,"{'pos': [('last race was maiden', 0.06189414043231187), ('no data: won last race', 0.05171487266644688), ('no data: finish placement (last race)', 0.05171487266644688)], 'neg': [('career ITM%', -0.10379245072576546), ('closer last race', -0.08975346796824038)]}",False,0.8105263157894737
3,6,4,Jubas Ridge,0.3274,0.101,0.5052631578947369,12/1,,"{'pos': [('pace type last race    MISSING = ', 0.1017504808181387), ('jockey starts at other tracks', 0.058231809570217716), ('no data: avg finish placement (last 3)', 0.05623934135116783)], 'neg': [('jockey home = MNR', -0.1867934801463105), ('last race was maiden', -0.15473535108077968), ('no data: won last race', -0.1292871816661172)]}",True,0.45263157894736844
3,7,2,Reportittourlawyer,0.3187,0.0976,0.8210526315789474,20/1,93.0,"{'pos': [('last race field size', 0.07940590180438295), ('trainer win% on surface', 0.07154170397672638), ('last race was maiden', 0.06189414043231187)], 'neg': [('finish placement (last race)', -0.4342418942841026), ('career ITM%', -0.10379245072576546), ('closer last race', -0.08975346796824038)]}",False,0.8105263157894737
4,1,3,Edy's Flame,0.6041,0.2231,0.9052631578947369,9/5,121.5,"{'pos': [('finish placement (last race)', 0.22452279604883937), ('career win% on surface', 0.2049180651224912), ('trainer win% on surface', 0.18174609391351051)], 'neg': [('career win%', -0.30964067390256916), ('blinkers change', -0.15253594697835743), ('won last race', -0.13813876730121577)]}",False,0.8947368421052632
4,2,1,Wynsome Cat,0.5252,0.1922,0.8631578947368421,7/2,116.0,"{'pos': [('career win%', 0.20074110503144582), ('career ITM%', 0.18820639842233183), ('blinkers change', 0.09152156818701446)], 'neg': [('career win% on surface', -0.13383676647513573)]}",False,0.8526315789473684
4,3,2,Forever Hustlin,0.3699,0.1171,0.8631578947368421,15/1,108.3,"{'pos': [('speed figure last race', 0.14105012826430913), ('blinkers change', 0.09152156818701446), ('won last race', 0.08288326038072946)], 'neg': [('finish placement (last race)', -0.1899808239548489), ('closer last race', -0.10994799826109447), ('career ITM%', -0.06913778260828081)]}",False,0.8526315789473684
4,4,6,Princess Blame,0.3674,0.1125,0.8736842105263158,5/1,113.4,"{'pos': [('blinkers change', 0.09152156818701446), ('won last race', 0.08288326038072946)], 'neg': [('speed figure last race', -0.11480103837106403), ('no data: trainer win% off layoff', -0.08784524602072402), ('2nd-back off layoff pattern', -0.05971518240528111)]}",False,0.8631578947368421
4,5,5,Belle Ofthe Wood,0.3457,0.108,0.8631578947368421,9/2,117.7,"{'pos': [('finish placement (last race)', 0.22452279604883937), ('last race field size', 0.18858901678540954), ('career win% on surface', 0.1145400424783739)], 'neg': [('career win%', -0.17347349097815556), ('blinkers change', -0.15253594697835743), ('won last race', -0.13813876730121577)]}",False,0.8526315789473684
4,6,7,Langleyswaterfall,0.3448,0.1126,0.8210526315789474,5/1,113.1,"{'pos': [('finish placement (last race)', 0.22452279604883937), ('career ITM%', 0.1128215954773712), ('blinkers change', 0.09152156818701446)], 'neg': [('won last race', -0.13813876730121577), ('jockey win% on surface', -0.07993698487244302), ('closeness to winner (last race)', -0.07465924459493604)]}",False,0.8105263157894737
4,7,8,Yesto Love,0.2854,0.0901,0.9157894736842105,10/1,112.0,"{'pos': [('career win%', 0.1150280193024572), ('blinkers change', 0.09152156818701446), ('speed figure last race', 0.08350574914226516)], 'neg': [('jockey win% on surface', -0.14071318222779639), ('starts at this track', -0.12118249344055348), ('career starts', -0.12004623785252438)]}",False,0.9052631578947369
4,8,4,Slow No Mo,0.1575,0.0444,0.8526315789473684,30/1,103.6,"{'pos': [('closeness to winner (last race)', 0.21367991104260858), ('career win%', 0.1267333323088953), ('won last race', 0.08288326038072946)], 'neg': [('finish placement (last race)', -0.466316578144674), ('career ITM%', -0.2662604241166823), ('speed figure last race', -0.18615606904035342)]}",False,0.8210526315789474
5,1,7,Goldeck,0.42869999999999997,0.1553,0.8631578947368421,7/2,100.9,"{'pos': [('trainer win% on surface', 0.2291257061129352), ('trainer win% at track', 0.1540244392498186), ('trainer win% (1yr)', 0.14900957846409899)], 'neg': [('blinkers change', -0.10169063131890495), ('career ITM%', -0.0556957204446666), ('no data: distance specialist', -0.055255824878684204)]}",False,0.8526315789473684
5,2,10,Knight Sage,0.3611,0.1253,0.8210526315789474,6/5,111.5,"{'pos': [('finish placement (last race)', 0.3914756442482193), ('career ITM%', 0.27690204837756294), ('avg finish placement (last 3)', 0.1151601121463835)], 'neg': [('closer last race', -0.10471237929628045), ('blinkers change', -0.10169063131890495), ('post position', -0.08913435658504809)]}",False,0.8105263157894737
5,3,9,Brother Moses,0.33340000000000003,0.1111,0.8210526315789474,10/1,98.7,"{'pos': [('finish placement (last race)', 0.2533077694095166), ('speed figure last race', 0.0995517759799406), ('career ITM%', 0.09606825778743788)], 'neg': [('blinkers change', -0.10169063131890495), ('post position', -0.06366739935140003), ('closeness to winner (last race)', -0.06341745075664632)]}",False,0.7684210526315789
5,4,2,Moonlight Candy,0.3045,0.1009,0.8631578947368421,4/1,100.2,"{'pos': [('jockey win% on surface', 0.20382024555965467), ('last race field size', 0.17866327844969912), ('trainer win% on surface', 0.16052604851993713)], 'neg': [('finish placement (last race)', -0.5756994796226995), ('speed figure last race', -0.10300444438818), ('trainer win% at other tracks', -0.08169067288980833)]}",False,0.8315789473684211
5,5,1,Untangled,0.2864,0.0994,0.8315789473684211,10/1,100.6,"{'pos': [('post position', 0.140068273373559), ('finish placement (last race)', 0.11513989908323372), ('avg finish placement (last 3)', 0.05234550552108341)], 'neg': [('blinkers change', -0.10169063131890495), ('jockey win% on surface', -0.06178139276860695), ('last race field size', -0.05955442696344976)]}",False,0.8
5,6,6,We Miss You Chebo,0.2293,0.0738,0.8210526315789474,15/1,94.6,"{'pos': [('closeness to winner (last race)', 0.22801105645779646), ('trouble in last trip', 0.0736795088769267)], 'neg': [('speed figure last race', -0.15098759784333454), ('blinkers change', -0.10169063131890495), ('jockey win% on surface', -0.08930299341808808)]}",False,0.7894736842105263
5,7,3,Revision,0.22139999999999999,0.0705,0.8631578947368421,20/1,95.7,"{'pos': [('jockey win% on surface', 0.11128060746434806), ('last race field size', 0.09925737664531617), ('speed figure last race', 0.09158409722344664)], 'neg': [('finish placement (last race)', -0.2993637299452941), ('blinkers change', -0.10169063131890495), ('avg finish placement (last 3)', -0.0984095535522303)]}",False,0.8526315789473684
5,8,5,Pay Da Baby,0.20170000000000002,0.0618,0.8315789473684211,15/1,84.1,"{'pos': [('finish placement (last race)', 0.3914756442482193), ('blinkers change', 0.14236688384646695)], 'neg': [('purse change vs last', -0.26154991319083976), ('class rating change vs last', -0.12115938136616912), ('no data: trainer win% off layoff', -0.10736641180310715)]}",False,0.8210526315789474
5,9,12,Judas Beast,0.1709,0.0526,0.4842105263157895,8/1,,"{'pos': [('pace type last race    MISSING = ', 0.13057978371661133), ('finish placement (last race)', 0.11513989908323372), ('last race field size', 0.09925737664531617)], 'neg': [('last race was maiden', -0.19857703388700054), ('no data: finish placement (last race)', -0.1659185498048504), ('no data: won last race', -0.1659185498048504)]}",True,0.43157894736842106
5,10,4,Juba Jack,0.1643,0.0535,0.8210526315789474,30/1,87.0,"{'pos': [('blinkers change', 0.14236688384646695), ('post position', 0.06366739795867118)], 'neg': [('finish placement (last race)', -0.2993637299452941), ('closer last race', -0.10471237929628045), ('career ITM%', -0.08752636202017787)]}",False,0.7894736842105263
