race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr,_reasons,actual
3,1,1,Culprit,0.7482,0.2835,0.9368421052631579,,,"{'pos': [('class rating change vs last', 0.11219904816529877), ('finish placement (last race)', 0.11053429896847819), ('purse change vs last', 0.10275544957103214)], 'neg': [('no data: trainer win% off layoff', -0.09370159575543896), ('last race (days ago)', -0.08800682104040951), ('days since last (recency)', -0.08800682104040951)]}",4
3,2,8,Good Mojo,0.7253000000000001,0.2672,0.9263157894736842,,,"{'pos': [('career ITM%', 0.17007788935291082), ('finish placement (last race)', 0.11053429896847819), ('trainer win% on surface', 0.10598408843774834)], 'neg': [('post position', -0.050933918181239754)]}",3
3,3,4,Feral,0.5796,0.1771,0.9052631578947369,,,"{'pos': [('finish placement (last race)', 0.24870217380718088), ('trainer home = GP', 0.187376285424112), ('last race was maiden', 0.17330359321047323)], 'neg': [('won last race', -0.17681762214555619), ('career win%', -0.15044405432690322), ('moving up in class', -0.07897173938966262)]}",1
3,4,7,Winery,0.5015000000000001,0.1472,0.5157894736842106,,,"{'pos': [('jockey home = GP', 0.17922173106379727), ('pace type last race    MISSING = ', 0.11396053851631534), ('no data: avg finish placement (last 3)', 0.06298806231330797)], 'neg': [('finish placement (last race)', -0.16580144619650738), ('no data: won last race', -0.14480164346605126), ('no data: finish placement (last race)', -0.14480164346605126)]}",5
3,5,2,Sound Cause,0.4454,0.125,0.8842105263157894,,,"{'pos': [('speed figure last race', 0.09224806562916994)], 'neg': [('finish placement (last race)', -0.3039693255476298), ('career ITM%', -0.1243854929673209), ('trainer win% (1yr)', -0.06791881733026696)]}",2
4,1,3,Find No Fault,0.5472999999999999,0.1933,0.9263157894736842,,,"{'pos': [('finish placement (last race)', 0.24563177548550708), ('blinkers change', 0.21694001348033057), ('jockey win% on surface', 0.1587714082657414)], 'neg': [('first-time blinkers', -0.23526858786895324), ('last race field size', -0.1411660476522364), ('pace type last race    MISSING = ', -0.06331141028684185)]}",1
4,2,10,Flick,0.526,0.1887,0.8842105263157894,,,"{'pos': [('finish placement (last race)', 0.38379965032420976), ('trainer home = GP', 0.15614690452009333), ('purse change vs last', 0.12994701812396067)], 'neg': [('jockey win% on surface', -0.15571936613649945), ('post position', -0.10186783729096544), ('closer last race', -0.08376990343702437)]}",5
4,3,1,Liberty Valance,0.4888,0.173,0.5157894736842106,,,"{'pos': [('jockey home = GP', 0.1991352567375525), ('trainer home = GP', 0.15614690452009333), ('purse change vs last', 0.12994701812396067)], 'neg': [('no data: finish placement (last race)', -0.10055669685142449), ('no data: won last race', -0.10055669685142449), ('last race was maiden', -0.09627977400581847)]}",8
4,4,8,Nomolimbo,0.387,0.1284,0.8736842105263158,,,"{'pos': [('purse change vs last', 0.12994701812396067), ('last race was maiden', 0.12034971750727308), ('last race field size', 0.09705165776091251)], 'neg': [('trainer home = GP', -0.07807345226004667), ('career ITM%', -0.07240489503614371), ('pace type last race    MISSING = ', -0.06331141028684185)]}",4
4,5,6,Our Forefathers,0.3529,0.1112,0.49473684210526314,,,"{'pos': [('purse change vs last', 0.12994701812396067), ('finish placement (last race)', 0.10746390515922419), ('pace type last race    MISSING = ', 0.07913926285855231)], 'neg': [('no data: won last race', -0.10055669685142449), ('no data: finish placement (last race)', -0.10055669685142449), ('last race was maiden', -0.09627977400581847)]}",3
