race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr
1,1,1,Silver Sniper,0.4553,0.1649,0.8631578947368421,,
1,2,6,Mizzou,0.4082,0.146,0.8315789473684211,,
1,3,11,Stoic Sage,0.293,0.0966,0.8210526315789474,,
1,4,9,Boss'Deed,0.2602,0.0879,0.8421052631578947,,
1,5,5,Adhemar,0.222,0.07,0.45263157894736844,,
1,6,7,Red Rage,0.2172,0.068,0.4631578947368421,,
1,7,8,Wicked Gun,0.21409999999999998,0.0656,0.8315789473684211,,
1,8,12,Slip Strike,0.19019999999999998,0.0626,0.5052631578947369,,
1,9,2,Harbor Prince,0.1864,0.0604,0.5052631578947369,,
1,10,4,Lasting Quality,0.1724,0.0586,0.8421052631578947,,
1,11,10,Nonno,0.1571,0.0514,0.4842105263157895,,
1,12,13,Hyperlink,0.11889999999999999,0.037,0.8526315789473684,,
1,13,3,Maximum Honor,0.105,0.031,0.8105263157894737,,
2,1,9,Shadow Coast,0.48519999999999996,0.181,0.8631578947368421,,
2,2,2,Bad Beat Brian,0.4741,0.1675,0.8736842105263158,,
2,3,8,Doctor Jeff,0.38210000000000005,0.1345,0.9157894736842105,,
2,4,1,Chiseler,0.3508,0.1216,0.7263157894736842,,
2,5,6,Catamount,0.35,0.1088,0.8,,
2,6,7,Golden Ale,0.2854,0.0875,0.4631578947368421,,
2,7,3,Joethe Tailor,0.2469,0.0766,0.8315789473684211,,
2,8,4,BD Valeski,0.2183,0.0651,0.8315789473684211,,
2,9,5,Curly Larryand Mo,0.2072,0.0574,0.8526315789473684,,
3,1,5,Derby Date,0.41100000000000003,0.1468,0.9157894736842105,,
3,2,1,Lord Majesty,0.4084,0.1449,0.8842105263157894,,
3,3,4,American Cause,0.3344,0.1101,0.42105263157894735,,
3,4,2,Nip N Tuck,0.32739999999999997,0.1108,0.8421052631578947,,
3,5,7,Couperin,0.3166,0.0994,0.4631578947368421,,
3,6,3,Swiss Guard,0.2985,0.0958,0.8526315789473684,,
3,7,6,Bloodline,0.2861,0.0943,0.4631578947368421,,
3,8,10,Bourbon's Fault,0.2794,0.0913,0.8526315789473684,,
3,9,9,Imperial Ruler,0.21739999999999998,0.0696,0.8315789473684211,,
3,10,8,Penrod,0.12079999999999999,0.037,0.8631578947368421,,
4,1,4,Steeze,0.5842,0.2131,0.9157894736842105,,
4,2,3,Zat'sthe One,0.5787,0.2084,0.8842105263157894,,
4,3,2,Jefferson Street,0.4178,0.1317,0.8210526315789474,,
4,4,6,Camp Hale,0.40689999999999993,0.1295,0.8210526315789474,,
4,5,5,Margin of Air,0.381,0.1257,0.5052631578947369,,
4,6,1,CK Wonder,0.3486,0.1056,0.8631578947368421,,
4,7,7,Vital Mind,0.2828,0.086,0.45263157894736844,,
5,1,6,Hex Appeal,0.2467,0.0856,0.45263157894736844,,
5,2,10,Harmoniously,0.2354,0.0785,0.45263157894736844,,
5,3,1,Make It Skate,0.22360000000000002,0.0728,0.4,,
