race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr,_reasons
3,1,8,Municipal,0.6394,0.2441,0.9157894736842105,,,"{'pos': [('purse change vs last', 0.20668972129862545), ('jockey win% on surface', 0.15721716324298246), ('trainer win% on surface', 0.15555096411490507)], 'neg': [('speed figure last race', -0.23197914703719844), ('last race field size', -0.16356145544882034), ('trainer win% at other tracks', -0.10548783219849354)]}"
3,2,3,Finny,0.5284,0.1796,0.8315789473684211,,,"{'pos': [('finish position last race', 0.20805324811953252), ('speed figure last race', 0.13862737674173037), ('career win% on surface', 0.11370972562411463)], 'neg': [('career win%', -0.1764104143426004), ('last race was maiden', -0.07313827341458892)]}"
3,3,4,No Brake Needed,0.47430000000000005,0.1593,0.8105263157894737,,,"{'pos': [('career ITM%', 0.20364686277412472), ('speed figure last race', 0.13395978962248947), ('blinkers change', 0.08655921588711674)], 'neg': [('starts at this track', -0.1475240952244574), ('last race was maiden', -0.07313827341458892), ('mid-pack last race', -0.062179585968214296)]}"
3,4,2,Just Deeds,0.37429999999999997,0.1186,0.45263157894736844,,,"{'pos': [('jockey home = GP', 0.23715113304951665), ('pace type last race    MISSING = ', 0.137389012743981), ('jockey win% on surface', 0.07374000173688282)], 'neg': [('no data: won last race', -0.1868987479837133), ('no data: finish position last race', -0.1868987479837133), ('blinkers change', -0.1442653598118613)]}"
3,5,1,Joel's Boy,0.3521,0.1126,0.8842105263157894,,,"{'pos': [('last race was maiden', 0.12189712235764823), ('career win%', 0.09756421908755661), ('blinkers change', 0.08655921588711674)], 'neg': [('no data: trainer win% off layoff', -0.08773966633487629), ('career win% on surface', -0.07149718953559249), ('finish position last race', -0.06935108118577168)]}"
3,6,7,Charlie Hustle,0.2748,0.0857,0.4105263157894737,,,"{'pos': [('pace type last race    MISSING = ', 0.137389012743981), ('last race field size', 0.06734883293105223), ('no data: avg finish (last 3)', 0.05448025354760701)], 'neg': [('no data: won last race', -0.1868987479837133), ('no data: finish position last race', -0.1868987479837133), ('blinkers change', -0.1442653598118613)]}"
3,7,5,Jaker,0.20179999999999998,0.0565,0.8947368421052632,,,"{'pos': [('finish position last race', 0.34675540820996714), ('last race was maiden', 0.12189712235764823), ('blinkers change', 0.08655921588711674)], 'neg': [('purse change vs last', -0.4632945203689637), ('won last race', -0.1840624411099967), ('class rating change vs last', -0.16436391768025813)]}"
3,8,6,My Yoke,0.15489999999999998,0.0436,0.8210526315789474,,,"{'pos': [('trouble in last trip', 0.08897258100550946), ('career win%', 0.06833261165566418), ('no data: won last race', 0.062299582661237765)], 'neg': [('finish position last race', -0.4854575888303804), ('blinkers change', -0.1442653598118613), ('avg finish (last 3)', -0.10896973880113009)]}"
4,1,4,Faster Gator,0.6416,0.2403,0.9052631578947369,,,"{'pos': [('jockey win% on surface', 0.20583411863067524), ('speed figure last race', 0.20537388819285424), ('finish position last race', 0.15851675438906815)], 'neg': [('career ITM%', -0.13419714861223073), ('won last race', -0.1202040431738754), ('last race field size', -0.087965823470574)]}"
4,2,7,Pork Chop Pete,0.5282,0.1873,0.9157894736842105,,,"{'pos': [('career ITM%', 0.24816183327533803), ('jockey win% on surface', 0.24199223979624973), ('wins at this track', 0.0939969277171674)], 'neg': [('finish position last race', -0.11888756579180107), ('speed figure last race', -0.09055121209177533), ('starts at this track', -0.08617280609431532)]}"
