race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr,_reasons
1,1,7,Cat Fast,0.5437,0.192,0.8842105263157894,,,"{'pos': [('jockey win% on surface', 0.18382611148090247), ('trainer win% on surface', 0.146138325705567), ('trainer win% at track', 0.14408390319666978)], 'neg': [('career ITM%', -0.09211049503875862), ('trainer win% at other tracks', -0.09062304189737748), ('2nd-back off layoff pattern', -0.0646900906357924)]}"
1,2,5,Abdicate,0.5131,0.173,0.9052631578947369,,,"{'pos': [('finish placement (last race)', 0.3120798693279129), ('career ITM%', 0.1992593138838276), ('last race field size', 0.14431893377665211)], 'neg': [('purse change vs last', -0.07767205972106835), ('speed figure last race', -0.07164748310065265), ('closer last race', -0.06946655034646322)]}"
1,3,3,Market Watch,0.5026999999999999,0.1735,0.8631578947368421,,,"{'pos': [('finish placement (last race)', 0.17337770923747825), ('career ITM%', 0.10019357298018919), ('jockey win% on surface', 0.0913678762505864)], 'neg': [('last race field size', -0.08659136168168395), ('class rating change vs last', -0.05020570382554298)]}"
1,4,6,Policy Change,0.4183,0.135,0.8736842105263158,,,"{'pos': [('career ITM%', 0.15208514966010045), ('speed figure last race', 0.11879012466620557), ('class rating change vs last', 0.09323916460902568)], 'neg': [('finish placement (last race)', -0.10402662006782597), ('career win%', -0.0847904399585465), ('jockey win% on surface', -0.0815419151513683)]}"
1,5,4,C'Est La Vie Nick,0.3484,0.116,0.8631578947368421,,,"{'pos': [('last race field size', 0.14431893377665211), ('jockey win% on surface', 0.08068049108056405), ('career win% on surface', 0.06961382402791583)], 'neg': [('finish placement (last race)', -0.24272878928269556), ('career win%', -0.10297899161420698), ('purse change vs last', -0.07767205972106835)]}"
1,6,1,Kvellion,0.2432,0.0781,0.9052631578947369,,,"{'pos': [('post position', 0.085528391772306), ('last race field size', 0.06734883293105223)], 'neg': [('career ITM%', -0.13725892051467198), ('jockey win% on surface', -0.1312029874166741), ('purse change vs last', -0.07767205972106835)]}"
1,7,8,York Tavern,0.22860000000000003,0.0711,0.8421052631578947,,,"{'pos': [('career win%', 0.09709508473743964), ('closer last race', 0.06946655034646322), ('jockey home = CT', 0.057994202691296896)], 'neg': [('finish placement (last race)', -0.24272878928269556), ('last race field size', -0.08659136168168395), ('post position', -0.08552839486026056)]}"
1,8,2,Town Hot,0.202,0.0613,0.8842105263157894,,,"{'pos': [('career win%', 0.11983078583780535), ('class rating change vs last', 0.09323916460902568), ('purse change vs last', 0.07131232546660812)], 'neg': [('career ITM%', -0.26884384214190776), ('starts at this track', -0.19232770805717425), ('last race field size', -0.16356145544882034)]}"
2,1,3,Candied Up,0.6374,0.2442,0.9157894736842105,,,"{'pos': [('finish placement (last race)', 0.19814594559331658), ('last race was maiden', 0.1671731963762033), ('trainer win% on surface', 0.1489989277108143)], 'neg': [('won last race', -0.15025505396734426), ('trainer win% at other tracks', -0.1001049104372571), ('last race field size', -0.09896155115159347)]}"
2,2,2,Fortunate Son,0.5032,0.1689,0.9052631578947369,,,"{'pos': [('career ITM%', 0.20183669744181693), ('speed figure last race', 0.09735255247734223), ('trouble in last trip', 0.07263067837184446)], 'neg': [('finish placement (last race)', -0.07925837458755264), ('career win%', -0.07773829420264888), ('jockey win% on surface', -0.05027633853849528)]}"
2,3,7,El Pacho,0.47950000000000004,0.1627,0.8526315789473684,,,"{'pos': [('purse change vs last', 0.11358037885697757), ('class rating change vs last', 0.0847007791311726), ('no data: trainer win% rising class', 0.06943776063957072)], 'neg': [('career ITM%', -0.10350679500579718), ('post position', -0.07331004813694411)]}"
2,4,6,Holiday Cash,0.45330000000000004,0.1467,0.8631578947368421,,,"{'pos': [('career ITM%', 0.1456291897105642), ('career win%', 0.08761219052200356), ('trouble in last trip', 0.07263067837184446)], 'neg': [('career win% on surface', -0.0617612791905492), ('class rating change vs last', -0.05874409520934509), ('speed figure last race', -0.05761137834383394)]}"
2,5,1,Culminate,0.377,0.1149,0.8736842105263158,,,"{'pos': [('finish placement (last race)', 0.19814594559331658), ('last race field size', 0.1319487372282791), ('post position', 0.07331004964941165)], 'neg': [('purse change vs last', -0.22026163014066963), ('won last race', -0.15025505396734426), ('career ITM%', -0.11564790109906296)]}"
