race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr,_reasons,_shipper,_corpus_cov,actual
3,2,7,A Notable Nature,0.5498000000000001,0.1916,0.9157894736842105,5/2,104.3,"{'pos': [('finish placement (last race)', 0.2565974799094108), ('last race was maiden', 0.0928412106484678), ('no data: finish placement (last race)', 0.07757230899967031)], 'neg': [('last race field size', -0.15881180360876593), ('post position', -0.07640087501696528), ('pace type last race    MISSING = ', -0.06105028849088322)]}",False,0.9157894736842105,4.0
3,3,6,Pedro's Fancy Man,0.5319,0.1785,0.9052631578947369,3/1,103.3,"{'pos': [('finish placement (last race)', 0.1184296050707081), ('last race was maiden', 0.0928412106484678), ('no data: won last race', 0.07757230899967031)], 'neg': [('trainer win% on surface', -0.07454478449969339), ('pace type last race    MISSING = ', -0.06105028849088322), ('trainer win% at track', -0.05742153205527924)]}",False,0.9052631578947369,2.0
3,4,1,Ajax the Great,0.3888,0.1153,0.5473684210526316,8/1,93.0,"{'pos': [('pace type last race    MISSING = ', 0.08140038465451095), ('post position', 0.07640087581281035)], 'neg': [('last race was maiden', -0.12378828086462373), ('no data: finish placement (last race)', -0.10342974533289377), ('no data: won last race', -0.10342974533289377)]}",True,0.49473684210526314,6.0
3,5,2,Reportittourlawyer,0.32189999999999996,0.0941,0.8736842105263158,20/1,93.0,"{'pos': [('last race was maiden', 0.0928412106484678), ('last race field size', 0.07940590180438295), ('no data: won last race', 0.07757230899967031)], 'neg': [('finish placement (last race)', -0.4342418942841026), ('career ITM%', -0.12255881876098669), ('closer last race', -0.10770416156188846)]}",False,0.8631578947368421,3.0
3,6,5,DQ-Conejo Dorado,0.3008,0.0899,0.5052631578947369,,,"{'pos': [('pace type last race    MISSING = ', 0.08140038465451095)], 'neg': [('last race was maiden', -0.12378828086462373), ('no data: finish placement (last race)', -0.10342974533289377), ('no data: won last race', -0.10342974533289377)]}",True,0.5052631578947369,
3,7,4,Jubas Ridge,0.2247,0.0623,0.5578947368421052,12/1,,"{'pos': [('pace type last race    MISSING = ', 0.08140038465451095), ('jockey starts at other tracks', 0.058068437854267414), ('jockey home = CT', 0.05712336285381953)], 'neg': [('trainer home = MNR', -0.27212166508274804), ('jockey home = MNR', -0.1867934801463105), ('last race was maiden', -0.12378828086462373)]}",True,0.5052631578947369,7.0
4,1,3,Edy's Flame,0.6308,0.2362,0.9263157894736842,9/5,121.5,"{'pos': [('finish placement (last race)', 0.22452279604883937), ('career win% on surface', 0.2049180651224912), ('trainer win% on surface', 0.1738086619476013)], 'neg': [('career win%', -0.30964067390256916), ('won last race', -0.13813876730121577), ('closeness to winner (last race)', -0.07465924459493604)]}",False,0.9263157894736842,1.0
4,2,1,Wynsome Cat,0.4935999999999999,0.1765,0.9263157894736842,7/2,116.0,"{'pos': [('career win%', 0.20074110503144582), ('career ITM%', 0.18820639842233183), ('post position', 0.08913435577262294)], 'neg': [('career win% on surface', -0.13383676647513573)]}",False,0.9263157894736842,2.0
4,3,6,Princess Blame,0.3905,0.1231,0.9157894736842105,5/1,113.4,"{'pos': [('trainer win% on surface', 0.09115202325336899), ('trainer win% (1yr)', 0.08570028426223801), ('won last race', 0.08288326038072946)], 'neg': [('speed figure last race', -0.11480103837106403), ('no data: trainer win% off layoff', -0.08784524602072402), ('2nd-back off layoff pattern', -0.05971518240528111)]}",False,0.9157894736842105,8.0
4,4,5,Belle Ofthe Wood,0.3878,0.1237,0.9263157894736842,9/2,117.7,"{'pos': [('finish placement (last race)', 0.22452279604883937), ('last race field size', 0.18858901678540954), ('career win% on surface', 0.1145400424783739)], 'neg': [('career win%', -0.17347349097815556), ('won last race', -0.13813876730121577), ('career ITM%', -0.11279123501904656)]}",False,0.9263157894736842,6.0
