race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr
1,1,1,Silver Sniper,0.4532,0.1653,0.8631578947368421,,
1,2,6,Mizzou,0.34540000000000004,0.1191,0.8315789473684211,,
1,3,9,Boss'Deed,0.311,0.1084,0.8421052631578947,,
1,4,11,Stoic Sage,0.264,0.0858,0.8210526315789474,,
1,5,5,Adhemar,0.21869999999999998,0.0688,0.45263157894736844,,
1,6,8,Wicked Gun,0.2182,0.0665,0.8315789473684211,,
1,7,2,Harbor Prince,0.21710000000000002,0.0709,0.5052631578947369,,
1,8,12,Slip Strike,0.21439999999999998,0.0726,0.5052631578947369,,
1,9,7,Red Rage,0.2118,0.0665,0.4631578947368421,,
1,10,10,Nonno,0.1741,0.0573,0.4842105263157895,,
1,11,4,Lasting Quality,0.1536,0.0531,0.8421052631578947,,
1,12,13,Hyperlink,0.1177,0.0349,0.8526315789473684,,
1,13,3,Maximum Honor,0.1008,0.0308,0.8105263157894737,,
2,1,9,Shadow Coast,0.4571,0.1646,0.8631578947368421,,
2,2,2,Bad Beat Brian,0.4505,0.1583,0.8736842105263158,,
2,3,8,Doctor Jeff,0.4261,0.1541,0.9157894736842105,,
2,4,6,Catamount,0.3286,0.1036,0.8,,
2,5,7,Golden Ale,0.2945,0.0932,0.4631578947368421,,
2,6,1,Chiseler,0.2844,0.0915,0.7263157894736842,,
2,7,3,Joethe Tailor,0.272,0.0851,0.8315789473684211,,
2,8,5,Curly Larryand Mo,0.26880000000000004,0.0827,0.8526315789473684,,
2,9,4,BD Valeski,0.21800000000000003,0.0669,0.8315789473684211,,
3,1,5,Derby Date,0.4431,0.1596,0.9157894736842105,,
3,2,1,Lord Majesty,0.43939999999999996,0.1555,0.8842105263157894,,
3,3,2,Nip N Tuck,0.33039999999999997,0.1111,0.8421052631578947,,
3,4,7,Couperin,0.3137,0.0975,0.4631578947368421,,
3,5,3,Swiss Guard,0.2875,0.0917,0.8526315789473684,,
3,6,6,Bloodline,0.281,0.0937,0.4631578947368421,,
3,7,10,Bourbon's Fault,0.2766,0.0918,0.8526315789473684,,
3,8,4,American Cause,0.271,0.0874,0.42105263157894735,,
3,9,9,Imperial Ruler,0.2182,0.0696,0.8315789473684211,,
3,10,8,Penrod,0.1391,0.0421,0.8631578947368421,,
4,1,4,Steeze,0.6322,0.235,0.9157894736842105,,
4,2,3,Zat'sthe One,0.6051,0.2192,0.8842105263157894,,
4,3,5,Margin of Air,0.4183,0.138,0.5052631578947369,,
4,4,2,Jefferson Street,0.379,0.1167,0.8210526315789474,,
4,5,6,Camp Hale,0.3508,0.1105,0.8210526315789474,,
4,6,1,CK Wonder,0.33609999999999995,0.0986,0.8631578947368421,,
4,7,7,Vital Mind,0.2785,0.082,0.45263157894736844,,
5,1,6,Hex Appeal,0.2781,0.098,0.45263157894736844,,
5,2,10,Harmoniously,0.2721,0.093,0.45263157894736844,,
5,3,1,Make It Skate,0.22749999999999998,0.0748,0.4,,
5,4,3,Frost Brite,0.22490000000000002,0.0739,0.45263157894736844,,
5,5,4,Don't Tell Mom,0.20090000000000002,0.0678,0.4,,
5,6,7,Jump Seat,0.1995,0.0692,0.4105263157894737,,
5,7,13,Mayflower Girl,0.1989,0.0663,0.4105263157894737,,
5,8,12,Jackie and Ginger,0.1762,0.0608,0.4421052631578947,,
5,9,2,Special Liberty,0.1731,0.0569,0.3684210526315789,,
5,10,11,Tajin Time,0.1651,0.0542,0.4105263157894737,,
5,11,9,Girl On a Tear,0.1648,0.0546,0.4105263157894737,,
5,12,5,Missy,0.1594,0.0527,0.3684210526315789,,
5,13,8,Devious Lady,0.15259999999999999,0.0495,0.3684210526315789,,
5,14,16,Ubiquitous Annie,0.1439,0.0424,0.4105263157894737,,
5,15,14,Miss Moneyball,0.1429,0.0467,0.4,,
5,16,15,Won'tcatchmecryan,0.12010000000000001,0.0392,0.6105263157894737,,
6,1,5,Sweet Venture,0.4406,0.1561,0.7684210526315789,,
6,2,6,Elewene,0.41359999999999997,0.1471,0.7263157894736842,,
6,3,7,Callie's Dance,0.287,0.1014,0.7789473684210526,,
6,4,15,Sharply,0.22249999999999998,0.0735,0.45263157894736844,,
6,5,13,A Sip of Vino,0.2141,0.0664,0.45263157894736844,,
