race_num,rank,pgm,horse,P(ITM),base,P(win),cov,_rr_delta,_cc_delta,ML,PrimePwr,_reasons,_shipper,_corpus_cov,actual
1,1,7,Cat Fast,0.6491,0.6185,0.2444,0.9157894736842105,0.1908857527998541,-0.146679896407522,,,"{'pos': [('jockey win% on surface', 0.1520361596295264), ('trainer win% on surface', 0.15149366859586785), ('speed figure last race', 0.12071672397931534)], 'neg': [('career ITM%', -0.11174446463851709), ('no data: distance specialist', -0.06314951414706767), ('2nd-back off layoff pattern', -0.0584965052133366)]}",False,0.9157894736842105,4.0
1,2,3,Market Watch,0.6116,0.5650999999999999,0.2171,0.9368421052631579,-0.020456903684503036,0.11714694727614278,,,"{'pos': [('finish placement (last race)', 0.17764440921764066), ('career ITM%', 0.08060358450878377), ('trainer win% on surface', 0.06883702990163554)], 'neg': [('last race field size', -0.0794059028503759), ('class rating change vs last', -0.05743522457961593)]}",False,0.9368421052631579,3.0
1,3,6,Policy Change,0.5591,0.5139,0.1937,0.9473684210526315,0.01682701189148894,0.0633039934519965,,,"{'pos': [('career ITM%', 0.13250702498892888), ('speed figure last race', 0.11274904522282138), ('purse change vs last', 0.10622717515331852)], 'neg': [('jockey win% on surface', -0.11356547869873523), ('finish placement (last race)', -0.0986913404597647), ('career win%', -0.08501865639502672)]}",False,0.9473684210526315,2.0
1,4,5,Abdicate,0.43019999999999997,0.4853,0.1334,0.9368421052631579,-0.15728263729774383,-0.16158807245788553,,,"{'pos': [('finish placement (last race)', 0.3158122840563433), ('career ITM%', 0.1796919708799699), ('last race field size', 0.158811802562773)], 'neg': [('purse change vs last', -0.15659512629467154), ('weight (lbs)', -0.13195276572531983), ('jockey win% on surface', -0.07905217913640167)]}",False,0.9368421052631579,7.0
1,5,8,York Tavern,0.3035,0.2721,0.0893,0.9157894736842105,-0.044764344484554686,0.10046898696157269,,,"{'pos': [('career win%', 0.10226632805260769), ('weight (lbs)', 0.0695750945528232), ('closer last race', 0.05385208078094423)], 'neg': [('finish placement (last race)', -0.23685921529846737), ('no data: closeness to winner (last race)', -0.0851164833523938), ('last race field size', -0.0794059028503759)]}",False,0.9157894736842105,1.0
1,6,4,C'Est La Vie Nick,0.2427,0.3539,0.0697,0.9368421052631579,-0.33258196492905545,-0.31042563774062226,,,"{'pos': [('last race field size', 0.158811802562773), ('career win% on surface', 0.0688599222885732)], 'neg': [('finish placement (last race)', -0.23685921529846737), ('purse change vs last', -0.15659512629467154), ('career win%', -0.10374715392996803)]}",False,0.9368421052631579,5.0
1,7,2,Town Hot,0.2038,0.1912,0.0524,0.9473684210526315,-0.04283593431382626,0.024944684728485322,,,"{'pos': [('career win%', 0.12567695406548393), ('purse change vs last', 0.10622717515331852), ('class rating change vs last', 0.08281357989541056)], 'neg': [('career ITM%', -0.288518216763845), ('trainer win% on surface', -0.1682975408079121), ('last race field size', -0.1588117973328083)]}",False,0.9473684210526315,6.0
2,1,3,Candied Up,0.6629,0.6526000000000001,0.2589,0.9473684210526315,-0.08663384706914945,-0.009661905385282221,,,"{'pos': [('finish placement (last race)', 0.19738267705174106), ('last race was maiden', 0.1856824212969356), ('trainer win% on surface', 0.182135244215563)], 'neg': [('won last race', -0.15787287691567517), ('last race field size', -0.10209329604396337), ('trainer win% at other tracks', -0.07455371962174118)]}",False,0.9473684210526315,5.0
2,2,6,Holiday Cash,0.5397000000000001,0.5251,0.1834,0.9368421052631579,-0.09940009318208431,-0.005617208720572919,,,"{'pos': [('career ITM%', 0.1456624886873234), ('trainer win% on surface', 0.09947860552133068), ('career win%', 0.09021304961955365)], 'neg': [('career win% on surface', -0.062440241663947765), ('class rating change vs last', -0.05743522667456259), ('speed figure last race', -0.054256131078464026)]}",False,0.9368421052631579,1.0
2,3,2,Fortunate Son,0.4948,0.517,0.1631,0.9368421052631579,-0.1824034609881472,-0.05757763399545998,,,"{'pos': [('career ITM%', 0.20188285733453812), ('speed figure last race', 0.0927033631149061), ('trouble in last trip', 0.06315386475165145)], 'neg': [('career win%', -0.08004602748186751), ('finish placement (last race)', -0.07895307262566428)]}",False,0.9368421052631579,2.0
