race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr,_reasons
5,1,4,Coach Siggy,0.7075,0.3035,0.9157894736842105,2/1,117.7,"{'pos': [('closeness to winner (last race)', 0.28948334482617605), ('trainer win% on surface', 0.16869397742765962), ('jockey win% on surface', 0.1473009904492163)], 'neg': [('speed figure last race', -0.11664295228989988), ('last race field size', -0.09705165776091251), ('career win%', -0.08370967558965804)]}"
5,2,6,Justa Wizard,0.4185,0.1299,0.8631578947368421,5/2,115.3,"{'pos': [('finish placement (last race)', 0.322391706452833), ('speed figure last race', 0.12902728044709716), ('career win% on surface', 0.09149631235564858)], 'neg': [('career win%', -0.13785206979408737), ('closer last race', -0.08376990343702437), ('closeness to winner (last race)', -0.05549384302482355)]}"
5,3,7,Rum N Coke,0.3568,0.1122,0.8526315789473684,12/1,110.4,"{'pos': [('jockey home = ELP', 0.08641683687197699), ('career ITM%', 0.06810573122812681), ('speed figure last race', 0.06262992957857241)], 'neg': [('jockey win% on surface', -0.11276881847701356), ('post position', -0.05093391539578203)]}"
5,4,9,Gimmethatsugar,0.3295,0.1026,0.9052631578947369,6/1,109.7,"{'pos': [('career ITM%', 0.07583603211088012), ('speed figure last race', 0.07148291527392406)], 'neg': [('post position', -0.10186783729096544), ('finish placement (last race)', -0.09211191806327504), ('jockey win% (90d)', -0.05031860283871882)]}"
5,5,2,Swift Waters,0.2953,0.088,0.8631578947368421,15/1,105.2,"{'pos': [('finish placement (last race)', 0.1842238316141303), ('career win%', 0.1278044854666678), ('post position', 0.07640087820034555)], 'neg': [('career win% on surface', -0.08482745178018258), ('closer last race', -0.08376990343702437), ('closeness to winner (last race)', -0.06579167052126139)]}"
5,6,1,Annapolis Road,0.2944,0.0906,0.8736842105263158,12/1,111.8,"{'pos': [('post position', 0.10186783543399361), ('jockey win% on surface', 0.07197379444904997), ('jockey win% (90d)', 0.07076108347777432)], 'neg': [('finish placement (last race)', -0.09211191806327504), ('no data: trainer win% off layoff', -0.0910987736511212)]}"
5,7,5,Felicias Cinco,0.2414,0.0679,0.8631578947368421,8/1,108.6,"{'pos': [('career win%', 0.10499413826108635), ('trouble in last trip', 0.06876754161846492), ('last race field size', 0.061760145847853415)], 'neg': [('finish placement (last race)', -0.09211191806327504), ('closer last race', -0.08376990343702437), ('closeness to winner (last race)', -0.0709405842694803)]}"
5,8,8,Youthful Energy,0.2352,0.0728,0.8842105263157894,6/1,113.4,"{'pos': [('last race field size', 0.061760145847853415), ('jockey home = CT', 0.05183416258957699), ('avg finish placement (last 3)', 0.05164756546950087)], 'neg': [('no data: trainer win% off layoff', -0.0910987736511212), ('post position', -0.07640088005731738), ('jockey win% on surface', -0.07221556146866567)]}"
5,9,3,John's Notion,0.1214,0.0325,0.8842105263157894,15/1,107.6,"{'pos': [('post position', 0.050933917252753855)], 'neg': [('finish placement (last race)', -0.3684476677406804), ('blinkers change', -0.21694001348033054), ('career ITM%', -0.1638032642526647)]}"
