race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr,_reasons,actual
4,1,2,Tornado Warning,0.6788000000000001,0.258,0.9052631578947369,,,"{'pos': [('finish placement (last race)', 0.49345670616661186), ('trainer win% on surface', 0.14304226900336822), ('trainer win% (1yr)', 0.10712585816917612)], 'neg': [('weight (lbs)', -0.12235620178781897), ('trainer win% at other tracks', -0.0728720794188695), ('closer last race', -0.07180277437459232)]}",1.0
4,2,4,Timeto Get It,0.6351,0.2326,0.9157894736842105,,,"{'pos': [('finish placement (last race)', 0.49345670616661186), ('trainer win% on surface', 0.06590805773824968), ('avg finish placement (last 3)', 0.061917254422240046)], 'neg': [('last race field size', -0.12478070283545895)]}",4.0
4,3,7,Golden Boss Man,0.4409,0.1426,0.8631578947368421,,,"{'pos': [('blinkers change', 0.20919215585603304), ('trainer win% on surface', 0.11348775496709512), ('jockey win% on surface', 0.10650519154825805)], 'neg': [('first-time blinkers', -0.22686613830220492), ('finish placement (last race)', -0.19738266802690152), ('post position', -0.07640087501696528)]}",3.0
4,4,6,I Hop Alot,0.42190000000000005,0.1323,0.8842105263157894,,,"{'pos': [('finish placement (last race)', 0.21712095648920648), ('trouble in last trip', 0.06315386475165145), ('speed figure last race', 0.05539437289351616)], 'neg': [('jockey win% on surface', -0.09807475053866382), ('closer last race', -0.07180277437459232), ('2nd-back off layoff pattern', -0.0584965052133366)]}",2.0
4,5,5,Elmington,0.36419999999999997,0.1089,0.8,,,"{'pos': [('closer last race', 0.05385208078094423), ('speed figure last race', 0.050967880045840325)], 'neg': [('trainer win% on surface', -0.12288617021878462), ('trainer win% at track', -0.08194364968844808), ('trainer win% at distance', -0.06001465100534831)]}",5.0
4,6,1,Juba Jack,0.25139999999999996,0.0662,0.8526315789473684,,,"{'pos': [('post position', 0.07640087581281035), ('closer last race', 0.05385208078094423)], 'neg': [('finish placement (last race)', -0.47371845380366506), ('trainer win% on surface', -0.09648595797540423), ('trainer win% (1yr)', -0.09394597142140781)]}",6.0
4,7,3,Broadway's Warrior,0.2077,0.0594,0.8631578947368421,,,"{'pos': [('weight (lbs)', 0.09596564450141938), ('trouble in last trip', 0.06315386475165145), ('closer last race', 0.05385208078094423)], 'neg': [('finish placement (last race)', -0.47371845380366506), ('trainer win% on surface', -0.10373751706118728), ('no data: trainer win% off layoff', -0.10039456688082746)]}",7.0
5,1,9,Authentic Appeal,0.7104,0.2762,0.9263157894736842,,,"{'pos': [('finish placement (last race)', 0.2763357466691255), ('career win% on surface', 0.23308701862711476), ('career ITM%', 0.12514874308307963)], 'neg': [('career win%', -0.3579175198790729), ('won last race', -0.14734801845463016), ('weight (lbs)', -0.11755791896466676)]}",5.0
5,2,8,Close Up,0.592,0.2073,0.9263157894736842,,,"{'pos': [('finish placement (last race)', 0.2763357466691255), ('career win% on surface', 0.10878068511188943), ('speed figure last race', 0.08734941341073202)], 'neg': [('won last race', -0.14734801845463016), ('closer last race', -0.08376990343702437), ('last race field size', -0.06617158605731088)]}",2.0
5,3,6,Fitness,0.5577,0.1886,0.5263157894736842,,,"{'pos': [('trainer win% on surface', 0.10830750014676425), ('pace type last race    MISSING = ', 0.09496711543026279), ('last race field size', 0.09264021755145505)], 'neg': [('finish placement (last race)', -0.13816787333456276), ('no data: finish placement (last race)', -0.12066803622170938), ('no data: won last race', -0.12066803622170938)]}",1.0
5,4,10,Unicycle,0.4281,0.1264,0.4842105263157895,,,"{'pos': [('trainer home = GP', 0.19518363065011668), ('pace type last race    MISSING = ', 0.09496711543026279), ('last race field size', 0.09264021755145505)], 'neg': [('finish placement (last race)', -0.13816787333456276), ('no data: won last race', -0.12066803622170938), ('no data: finish placement (last race)', -0.12066803622170938)]}",4.0
5,5,4,Holy Coffee,0.39949999999999997,0.1154,0.9368421052631579,,,"{'pos': [('career win%', 0.12902345606157495), ('won last race', 0.07367400922731508), ('no data: won last race', 0.0603340181108547)], 'neg': [('finish placement (last race)', -0.13816787333456276), ('career win% on surface', -0.09632478299237804), ('trainer win% (1yr)', -0.0821406286027932)]}",6.0
5,6,2,Bravo Zulu,0.3123,0.0861,0.9368421052631579,,,"{'pos': [('career win%', 0.13679755136927452), ('closeness to winner (last race)', 0.07465924528826245), ('won last race', 0.07367400922731508)], 'neg': [('career starts', -0.1513836064208068), ('jockey win% on surface', -0.14824523822703237), ('last race field size', -0.14557748053974331)]}",3.0
6,1,1,Far Froma Star,0.615,0.2283,0.9473684210526315,,,"{'pos': [('finish placement (last race)', 0.23685921336457316), ('blinkers change', 0.20919215585603304), ('purse change vs last', 0.1610364398161494)], 'neg': [('first-time blinkers', -0.22686613830220492), ('no data: trainer win% off layoff', -0.10039456688082746), ('closer last race', -0.07180277437459232)]}",1.0
6,2,2,Cedar's Estate,0.5267,0.1776,0.9368421052631579,,,"{'pos': [('career win%', 0.13992864367012697), ('finish placement (last race)', 0.09869134303829027), ('weight (lbs)', 0.07197423661776535)], 'neg': [('career win% on surface', -0.09608038745946362), ('mid-pack last race', -0.0551493920954411), ('starts at this track', -0.05193535403994533)]}",5.0
6,3,3,This Isthe Life,0.5091,0.1725,0.9368421052631579,,,"{'pos': [('finish placement (last race)', 0.23685921336457316), ('shipping in today', 0.09115196019250502), ('career win% on surface', 0.06682634118006771)], 'neg': [('career win%', -0.08481334494561138), ('purse change vs last', -0.055000480046399874), ('jockey win% on surface', -0.051932799254433795)]}",4.0
6,4,7,Martin's Mo Tom,0.4576,0.1506,0.9368421052631579,,,"{'pos': [('finish placement (last race)', 0.23685921336457316), ('career ITM%', 0.18956519010024062), ('avg finish placement (last 3)', 0.10588747922991049)], 'neg': [('weight (lbs)', -0.11275963764928239), ('speed figure last race', -0.07809594595870281), ('post position', -0.07640087501696528)]}",3.0
6,5,5,A.L.'s Boy,0.4196,0.1337,0.9368421052631579,,,"{'pos': [('speed figure last race', 0.1379168129453297), ('last race field size', 0.10209330231992095), ('weight (lbs)', 0.07197423661776535)], 'neg': [('finish placement (last race)', -0.31581228599023753), ('speed trend (last 3)', -0.05992895465559921)]}",2.0
6,6,6,Tio Lino,0.31279999999999997,0.0932,0.9157894736842105,,,"{'pos': [('jockey win% on surface', 0.07736743772044681), ('closer last race', 0.05385208078094423), ('career win% on surface', 0.053087219318228865)], 'neg': [('weight (lbs)', -0.11275963764928239), ('speed figure last race', -0.10465489258310462), ('trainer win% on surface', -0.08954318120285026)]}",7.0
6,7,4,Sweet Julian,0.1592,0.0441,0.8631578947368421,,,"{'pos': [('career win%', 0.08862883950787584), ('distance change vs last', 0.07139807700541709)], 'neg': [('finish placement (last race)', -0.45398016082894016), ('career ITM%', -0.21375477946286248), ('avg finish placement (last 3)', -0.12024510144857636)]}",6.0
7,1,1,Overthe Bull,0.6206,0.2273,0.9368421052631579,,,"{'pos': [('closeness to winner (last race)', 0.1316650687568136), ('purse change vs last', 0.1204115089526749), ('class rating change vs last', 0.08281357998392944)], 'neg': [('finish placement (last race)', -0.15790614396206584), ('last race field size', -0.05671850233483791)]}",2.0
