race_num,rank,pgm,horse,P(ITM),base,P(win),cov,_rr_delta,ML,PrimePwr,_reasons,_shipper,_corpus_cov
8,7,7,Sky Masterson,0.2686,0.2469,0.084,0.42105263157894735,0.1392426370849258,,,"{'pos': [('pace type last race    MISSING = ', 0.1266228205736837), ('finish placement (last race)', 0.0767599329728458), ('speed figure last race', 0.07008610566050924)], 'neg': [('purse change vs last', -0.1679185498378876), ('blinkers change', -0.1627050101102479), ('no data: won last race', -0.1608907149622792)]}",True,0.42105263157894735
8,8,5,My Foolish Notion,0.2141,0.25830000000000003,0.0642,0.7684210526315789,-0.223633462561329,,,"{'pos': [('trainer home = GP', 0.1301224204334111), ('blinkers change', 0.08135250505512398), ('career win%', 0.07467919901405898)], 'neg': [('finish placement (last race)', -0.19957582121697934), ('last race field size', -0.11469741534454217), ('no data: closeness to winner (last race)', -0.07723532748643142)]}",False,0.7684210526315789
8,9,9,Sponge Time,0.2118,0.19240000000000002,0.0687,0.7894736842105263,0.1480749435197719,,,"{'pos': [('career win%', 0.10789697975761933), ('finish placement (last race)', 0.0767599329728458), ('no data: career win% on surface', 0.05747864367174624)], 'neg': [('blinkers change', -0.1627050101102479), ('speed figure last race', -0.13751631055594732), ('last race field size', -0.11469741534454217)]}",False,0.7894736842105263
9,1,2,Dorothy,0.6081000000000001,0.5313,0.2214,0.8315789473684211,0.043469230388119784,,,"{'pos': [('blinkers change', 0.1045960779280165), ('finish placement (last race)', 0.07895307262566431), ('career ITM%', 0.07759693551817502)], 'neg': [('trainer home = GP', -0.16730025484295716), ('last race field size', -0.05671850233483791)]}",False,0.8315789473684211
9,2,7,Slew Lady,0.5166999999999999,0.5613,0.1825,0.8421052631578947,-0.44422718956517643,,,"{'pos': [('class rating change vs last', 0.11620615751372365), ('blinkers change', 0.1045960779280165), ('purse change vs last', 0.10160433156708491)], 'neg': [('last race field size', -0.13612439681727034), ('post position', -0.07640087501696528), ('career ITM%', -0.057384154972314874)]}",False,0.8421052631578947
9,3,4,Straightto Jail,0.5045000000000001,0.47819999999999996,0.1702,0.7684210526315789,-0.15857788067574252,,,"{'pos': [('finish placement (last race)', 0.07895307262566431), ('trainer home = GP', 0.06692010193718284), ('closeness to winner (last race)', 0.0647291971613251)], 'neg': [('blinkers change', -0.13946143723735538), ('career ITM%', -0.08921479654782614), ('jockey win% on surface', -0.08551729903542107)]}",False,0.7684210526315789
9,4,6,Baby Masha,0.4569,0.46620000000000006,0.1548,0.4842105263157895,-0.3025827095908616,,,"{'pos': [('last race field size', 0.10209330127392802), ('pace type last race    MISSING = ', 0.1017504808181387), ('finish placement (last race)', 0.07895307262566431)], 'neg': [('last race was maiden', -0.15473535108077968), ('blinkers change', -0.13946143723735538), ('no data: won last race', -0.1292871816661172)]}",True,0.4842105263157895
9,5,1,Sweetgreen,0.33790000000000003,0.34509999999999996,0.0995,0.47368421052631576,-0.30258270959086164,,,"{'pos': [('last race field size', 0.10209330127392802), ('pace type last race    MISSING = ', 0.1017504808181387), ('finish placement (last race)', 0.07895307262566431)], 'neg': [('last race was maiden', -0.15473535108077968), ('blinkers change', -0.13946143723735538), ('no data: won last race', -0.1292871816661172)]}",True,0.47368421052631576
9,6,5,Authentic Star,0.3222,0.3532,0.0982,0.8,-0.40729239035019205,,,"{'pos': [('blinkers change', 0.1045960779280165), ('closeness to winner (last race)', 0.08017593602886271), ('trainer home = GP', 0.06692010193718284)], 'neg': [('finish placement (last race)', -0.1973826815641608), ('jockey home = GP', -0.16001940273553328), ('speed figure last race', -0.07885477425054921)]}",False,0.8
9,7,3,Irish Tale,0.25370000000000004,0.26470000000000005,0.0734,0.7263157894736842,-0.3382821979185866,,,"{'pos': [('blinkers change', 0.1045960779280165), ('last race was maiden', 0.06189414043231187), ('no data: finish placement (last race)', 0.05171487266644688)], 'neg': [('finish placement (last race)', -0.1973826815641608), ('trainer home = GP', -0.16730025484295716), ('jockey home = GP', -0.16001940273553328)]}",False,0.7263157894736842
