race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr
1,1,8,Snitch Dorada,0.6194000000000001,0.2283,0.9157894736842105,,
1,2,4,Navy Band,0.5588,0.1947,0.8526315789473684,,
1,3,7,Miss Fortunate,0.5461,0.1897,0.8210526315789474,,
1,4,1,Boss Lady KP,0.37220000000000003,0.123,0.8631578947368421,,
1,5,2,Queen Wiggy,0.31899999999999995,0.0934,0.4421052631578947,,
1,6,5,Classy Bay,0.3081,0.0907,0.8315789473684211,,
1,7,3,Sweet Manhattan,0.2385,0.0696,0.8736842105263158,,
1,8,6,Uncaptured Ruby,0.037899999999999996,0.0106,0.8842105263157894,,
2,1,9,Box Top,0.6205,0.251,0.8526315789473684,,
2,2,5,Sunset House,0.4178,0.1391,0.8526315789473684,,
2,3,3,Belle Cause,0.3679,0.1156,0.8947368421052632,,
2,4,1,Zero Degrees,0.36119999999999997,0.1174,0.8947368421052632,,
2,5,8,Lolita,0.3608,0.1185,0.9052631578947369,,
2,6,4,Changes,0.3251,0.0979,0.9052631578947369,,
2,7,7,Macnick Time,0.2086,0.062,0.8105263157894737,,
2,8,2,Can You See Me Now,0.17659999999999998,0.0528,0.7789473684210526,,
2,9,6,Jumping Jada,0.16149999999999998,0.0457,0.8105263157894737,,
3,1,8,Municipal,0.6394,0.2441,0.9157894736842105,,
3,2,3,Finny,0.5284,0.1796,0.8315789473684211,,
3,3,4,No Brake Needed,0.47430000000000005,0.1593,0.8105263157894737,,
3,4,2,Just Deeds,0.37429999999999997,0.1186,0.45263157894736844,,
3,5,1,Joel's Boy,0.3521,0.1126,0.8842105263157894,,
3,6,7,Charlie Hustle,0.2748,0.0857,0.4105263157894737,,
3,7,5,Jaker,0.20179999999999998,0.0565,0.8947368421052632,,
3,8,6,My Yoke,0.15489999999999998,0.0436,0.8210526315789474,,
4,1,4,Faster Gator,0.6416,0.2403,0.9052631578947369,,
4,2,7,Pork Chop Pete,0.5282,0.1873,0.9157894736842105,,
4,3,2,The Wine Steward,0.4438,0.1426,0.8842105263157894,,
4,4,5,Play It Loud,0.4294,0.1384,0.8631578947368421,,
4,5,6,Hammer,0.3578,0.114,0.9157894736842105,,
