race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr,_reasons
1,1,3,Market Watch,0.53,0.1824,0.8947368421052632,,,"{'pos': [('class rating change vs last', 0.10399752980489636), ('jockey win% on surface', 0.09498047639935148), ('trouble in last trip', 0.07626221229043668)], 'neg': [('finish placement (last race)', -0.1213643935007934)]}"
1,2,5,Abdicate,0.5108999999999999,0.1747,0.9052631578947369,,,"{'pos': [('finish placement (last race)', 0.43344426510981504), ('career ITM%', 0.1479282447369121), ('pace progression last race', 0.10759006663377807)], 'neg': [('purse change vs last', -0.10036462367872745), ('closer last race', -0.08683318793307902), ('career win%', -0.07194702667067714)]}"
1,3,4,C'Est La Vie Nick,0.5095000000000001,0.1777,0.8736842105263158,,,"{'pos': [('finish placement (last race)', 0.5721464252002496), ('last race was maiden', 0.14627654682917787), ('career win% on surface', 0.08962109533060736)], 'neg': [('won last race', -0.1840624411099967), ('career win%', -0.13257553852017528), ('class rating change vs last', -0.08726229646194253)]}"
1,4,7,Cat Fast,0.4714,0.1586,0.8736842105263158,,,"{'pos': [('last race field size', 0.25977407354254867), ('jockey win% on surface', 0.1650205725950157), ('trainer win% on surface', 0.1481400959727987)], 'neg': [('finish placement (last race)', -0.1213643935007934), ('speed figure last race', -0.09516045918312505), ('class rating change vs last', -0.09204378992497529)]}"
1,5,6,Policy Change,0.44519999999999993,0.1472,0.8736842105263158,,,"{'pos': [('speed figure last race', 0.15968986853489564), ('career ITM%', 0.1479282447369121), ('class rating change vs last', 0.10399752980489636)], 'neg': [('closer last race', -0.08683318793307902), ('jockey win% on surface', -0.08034957833578876), ('career win%', -0.07194702667067714)]}"
1,6,8,York Tavern,0.2269,0.0714,0.8631578947368421,,,"{'pos': [('career win%', 0.109938498025309), ('closer last race', 0.05209991275984742)], 'neg': [('last race field size', -0.12507640945006007), ('finish placement (last race)', -0.1213643935007934), ('post position', -0.08552839486026056)]}"
1,7,1,Kvellion,0.18409999999999999,0.0548,0.8842105263157894,,,"{'pos': [('post position', 0.085528391772306), ('trouble in last trip', 0.07626221229043668), ('closer last race', 0.05209991275984742)], 'neg': [('finish placement (last race)', -0.39876871368166256), ('jockey win% on surface', -0.13940282615808838), ('career ITM%', -0.12257040109294888)]}"
1,8,2,Town Hot,0.122,0.0332,0.8736842105263158,,,"{'pos': [('career win%', 0.12928802841370346), ('class rating change vs last', 0.10399752980489636), ('post position', 0.06109170998427702)], 'neg': [('career ITM%', -0.26457335784828495), ('finish placement (last race)', -0.26006657184009796), ('starts at this track', -0.19123493535766733)]}"
2,1,3,Candied Up,0.7003999999999999,0.2781,0.8947368421052632,,,"{'pos': [('purse change vs last', 0.31441344176005936), ('last race was maiden', 0.1671731963762033), ('trainer win% on surface', 0.15090361672698988)], 'neg': [('speed figure last race', -0.11935690364117445), ('trainer win% at other tracks', -0.1001049104372571), ('no data: career win% on surface', -0.0971299780206792)]}"
2,2,6,Holiday Cash,0.5741999999999999,0.1977,0.8736842105263158,,,"{'pos': [('career ITM%', 0.1665113153485148), ('purse change vs last', 0.15246596150706157), ('class rating change vs last', 0.09904526428118898)], 'neg': [('finish placement (last race)', -0.059443782895900535)]}"
2,3,2,Fortunate Son,0.49749999999999994,0.1624,0.9052631578947369,,,"{'pos': [('career ITM%', 0.19596077320100902), ('speed figure last race', 0.08134939796076827), ('career win% on surface', 0.07963729021833219)], 'neg': [('finish placement (last race)', -0.19814594298633514), ('career win%', -0.11489111394481577), ('mid-pack last race', -0.05921865330306123)]}"
2,4,7,El Pacho,0.386,0.1188,0.8631578947368421,,,"{'pos': [('finish placement (last race)', 0.3566627064998383), ('jockey win% on surface', 0.0568438204238812), ('jockey win% (90d)', 0.051905291481279286)], 'neg': [('won last race', -0.15025505396734423), ('career ITM%', -0.11479064116776563), ('post position', -0.07331004813694411)]}"
2,5,4,Juba's Heart,0.3585,0.1059,0.8421052631578947,,,"{'pos': [('career ITM%', 0.08003278553065879), ('won last race', 0.0601020215869377)], 'neg': [('purse change vs last', -0.17429534896026844), ('jockey win% on surface', -0.09315776427750383), ('finish placement (last race)', -0.059443782895900535)]}"
2,6,1,Culminate,0.3429,0.0997,0.8842105263157894,,,"{'pos': [('finish placement (last race)', 0.3566627064998383), ('post position', 0.07331004964941165), ('speed figure last race', 0.0692136744093864)], 'neg': [('purse change vs last', -0.28140959953822037), ('won last race', -0.15025505396734423), ('career ITM%', -0.13265767818225407)]}"
2,7,5,Directthe Show,0.1405,0.0374,0.8526315789473684,,,"{'pos': [('trouble in last trip', 0.08715681404621335), ('won last race', 0.0601020215869377)], 'neg': [('finish placement (last race)', -0.4755502905405093), ('starts at this track', -0.1311325271343755), ('career ITM%', -0.13103176297245797)]}"
