race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr,_reasons
2,1,9,Box Top,0.6056,0.241,0.8526315789473684,,,"{'pos': [('jockey win% on surface', 0.31865957274949946), ('finish placement (last race)', 0.2763357491760254), ('closeness to winner (last race)', 0.09256601823502157)], 'neg': [('post position', -0.10186783729096544)]}"
2,2,5,Sunset House,0.4163,0.1399,0.8526315789473684,,,"{'pos': [('finish placement (last race)', 0.1381678743373227), ('blinkers change', 0.08135250505512398), ('jockey win% on surface', 0.07727707792218369)], 'neg': [('closeness to winner (last race)', -0.10721181903146235), ('career win%', -0.06419722524933873), ('career ITM%', -0.06120629301516438)]}"
2,3,8,Lolita,0.3841,0.1269,0.9052631578947369,,,"{'pos': [('career ITM%', 0.23120069092468576), ('last race was maiden', 0.1684896045101823), ('finish placement (last race)', 0.1381678743373227)], 'neg': [('last race field size', -0.15881180360876593), ('post position', -0.07640088005731738), ('closer last race', -0.06980825286418696)]}"
2,4,3,Belle Cause,0.3769,0.1207,0.8947368421052632,,,"{'pos': [('last race field size', 0.15881180360876593), ('blinkers change', 0.08135250505512398), ('speed figure last race', 0.057937847322772865)], 'neg': [('jockey win% on surface', -0.10131661366225786), ('closeness to winner (last race)', -0.0979437761863636)]}"
2,5,1,Zero Degrees,0.3767,0.1239,0.8947368421052632,,,"{'pos': [('finish placement (last race)', 0.2763357491760254), ('speed figure last race', 0.23057097771446936), ('post position', 0.10186783543399361)], 'neg': [('last race field size', -0.15881180360876593), ('trainer win% on surface', -0.11463948347300923), ('trainer win% at track', -0.08017847693090338)]}"
2,6,4,Changes,0.3387,0.1022,0.9052631578947369,,,"{'pos': [('finish placement (last race)', 0.2763357491760254), ('blinkers change', 0.08135250505512398), ('avg finish placement (last 3)', 0.05862696653612381)], 'neg': [('purse change vs last', -0.18989870290830224), ('class rating change vs last', -0.11427680688982424), ('last race field size', -0.07940590180438295)]}"
2,7,7,Macnick Time,0.1799,0.0512,0.8105263157894737,,,"{'pos': [('last race field size', 0.15881180360876593), ('career ITM%', 0.11718523228199479), ('speed figure last race', 0.057937847322772865)], 'neg': [('finish placement (last race)', -0.5526714998561907), ('blinkers change', -0.1627050101102479), ('closeness to winner (last race)', -0.0979437761863636)]}"
2,8,6,Jumping Jada,0.1722,0.0487,0.8105263157894737,,,"{'pos': [('last race field size', 0.15881180360876593), ('jockey home = ELP', 0.08641683687197699)], 'neg': [('finish placement (last race)', -0.2763357501787853), ('career ITM%', -0.2158122893564877), ('blinkers change', -0.1627050101102479)]}"
2,9,2,Can You See Me Now,0.1496,0.0455,0.7789473684210526,,,"{'pos': [('closeness to winner (last race)', 0.50962801520092), ('last race was maiden', 0.1684896045101823), ('trouble in last trip', 0.07859147613538849)], 'neg': [('speed figure last race', -0.5237030296997519), ('finish placement (last race)', -0.2763357501787853), ('career ITM%', -0.18398164778097642)]}"
